pipeline, lengjan
Þór, Þór Akureyri
HK, Handknattleiksfélag Kópavogs
ÍBV, ÍBV Vestmannaeyjar
ÍR, ÍR Reykjavík
FH, FH Hafnarfjörður
KA, KA Akureyri
ÍH, ÍH Keflavík
HBH, HB Hafnarfjörður
