date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-07,Serie B,Spezia,Monza,1-0,1.68,3.4,3.45,2026-03-04T07:07:45Z
2026-03-07,Serie B,Spezia,Monza,0-2,17.05,6.55,1.03,2026-03-04T07:07:45Z
2026-03-07,Serie B,Spezia,Monza,2-0,1.2,4.81,7.35,2026-03-04T07:07:45Z
2026-03-07,Serie B,Spezia,Monza,3-0,1.04,6.83,14.1,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,0-1,3.63,3.49,1.62,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,1-0,1.2,4.5,8.02,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,0-2,7.73,4.95,1.18,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,2-0,1.03,6.55,16.84,2026-03-04T07:07:45Z
2026-03-07,Serie B,Sudtirol,Virtus Entella,3-0,1.01,7.12,23.82,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,0-1,1.85,3.46,2.86,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,1-0,1.05,6.14,16,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,0-2,3.14,3.78,1.68,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,2-0,1.01,6.96,25.09,2026-03-04T07:07:45Z
2026-03-07,Serie B,Venezia,Reggiana,0-3,5.88,5.04,1.23,2026-03-04T07:07:45Z
2026-03-08,Serie A,Lecce,Cremonese,0-1,4.13,3.47,1.61,2026-03-04T07:07:45Z
2026-03-08,Serie A,Lecce,Cremonese,1-0,1.22,4.54,8.98,2026-03-04T07:07:45Z
2026-03-08,Serie A,Lecce,Cremonese,0-2,9.66,5.36,1.16,2026-03-04T07:07:45Z
2026-03-08,Serie A,Lecce,Cremonese,2-0,1.04,7.32,21.16,2026-03-04T07:07:45Z
2026-03-08,Serie A,Lecce,Cremonese,3-0,1.01,8.31,31.46,2026-03-04T07:07:45Z
2026-03-08,Serie B,Carrarese,Palermo,0-1,7.04,4.5,1.23,2026-03-04T07:07:45Z
2026-03-08,Serie B,Carrarese,Palermo,1-0,1.66,3.56,3.37,2026-03-04T07:07:45Z
2026-03-08,Serie B,Carrarese,Palermo,0-2,14.56,6.5,1.04,2026-03-04T07:07:45Z
2026-03-08,Serie B,Carrarese,Palermo,2-0,1.2,4.89,6.89,2026-03-04T07:07:45Z
2026-03-08,Serie B,Carrarese,Palermo,3-0,1.05,6.84,12.99,2026-03-04T07:07:45Z
2026-03-08,Serie B,Catanzaro,Empoli,0-1,3.19,3.4,1.75,2026-03-04T07:07:45Z
2026-03-08,Serie B,Catanzaro,Empoli,1-0,1.2,4.57,8.02,2026-03-04T07:07:45Z
2026-03-08,Serie B,Catanzaro,Empoli,0-2,6.6,4.68,1.23,2026-03-04T07:07:45Z
2026-03-08,Serie B,Catanzaro,Empoli,2-0,1.03,6.6,16.57,2026-03-04T07:07:45Z
2026-03-08,Serie B,Catanzaro,Empoli,3-0,1.01,7.16,23.37,2026-03-04T07:07:45Z
