date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.36,4.47,5.27,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.37,4.42,5.15,2026-03-04T08:56:38Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.37,4.43,5.18,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.38,4.4,5.07,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.1,6.62,10.66,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.1,6.67,10.78,2026-03-04T13:26:24Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.1,6.68,10.85,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.11,6.56,10.42,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.11,6.61,10.62,2026-03-04T08:56:38Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.07,3.45,2.65,2026-03-04T14:59:35Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.6,7.95,1.02,2026-03-04T14:59:35Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.1,6.68,10.78,2026-03-04T14:59:35Z
2026-03-04,Premier League,Brighton,Arsenal,0-1,10.86,5.48,1.14,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.07,3.47,2.64,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.34,7.94,1.02,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.36,4.47,5.18,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,3-0,1.1,6.65,10.61,2026-03-04T17:50:44Z
2026-03-04,Premier League,Fulham,West Ham,0-1,3.37,3.89,1.68,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,0-1,3.39,3.94,1.66,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,0-1,3.41,3.97,1.65,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,0-1,3.42,3.97,1.65,2026-03-04T13:56:01Z
2026-03-04,Premier League,Fulham,West Ham,0-2,6.74,5.32,1.23,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,0-2,6.75,5.27,1.23,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,0-2,6.75,5.36,1.23,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,0-2,6.8,5.36,1.22,2026-03-04T13:56:01Z
2026-03-04,Premier League,Fulham,West Ham,1-0,1.26,4.85,6.64,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,1-0,1.27,4.84,6.45,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,1-0,1.28,4.81,6.2,2026-03-04T13:56:01Z
2026-03-04,Premier League,Fulham,West Ham,1-0,1.28,4.83,6.26,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,2-0,1.06,7.21,14.09,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,2-0,1.07,7.09,13.04,2026-03-04T13:56:01Z
2026-03-04,Premier League,Fulham,West Ham,2-0,1.07,7.11,13.13,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,2-0,1.07,7.17,13.59,2026-03-04T07:07:45Z
2026-03-04,Premier League,Fulham,West Ham,3-0,1.01,8.8,22.48,2026-03-03T21:14:25Z
2026-03-04,Premier League,Fulham,West Ham,3-0,1.01,8.81,21.29,2026-03-04T13:26:24Z
2026-03-04,Premier League,Fulham,West Ham,3-0,1.01,8.82,21.22,2026-03-04T13:56:01Z
