out, in
Alingsas, Alingsås
Amo HK, AMO HK
Aranas, HK Aranäs
Drott, HK Drott
IFK Karlskrona, HIF Karlskrona
Lund, H 43 Lund
Skovde, IFK Skövde HK
Torslanda, Torslanda HK
