out, in
Ademar, Reale Ademar Leon
CD Bidasoa Irun, Bidasoa Irun
Caserio Ciudad Real, BM Caserio Ciudad Real
Morrazo Cangas, Frigorificos Morrazo
Nava, BM Nava
Puente Genil, Angel Ximenez P. Genil
Quabit Guadalajara, Guadalajara
