date,home,away
13.03. 18:30,Plzen,Frydek-Mistek
14.03. 17:00,Jicin,Dukla Prague
14.03. 17:00,Koprivnice,Zubri
14.03. 17:00,Lovosice,Brno
14.03. 17:00,Strakonice,Nove Veseli
15.03. 16:30,Zlin,Karvina
