date,home,away,home_score,away_score
07.03. 14:00,Aarhus Handbold W,Rodovre W,-,-
13.03. 18:00,Ajax Kobenhavn W,Roskilde W,-,-
13.03. 18:30,Ejstrup/Haervejen W,Holstebro W,-,-
14.03. 12:00,AGF W,Gudme HK W,-,-
14.03. 13:30,Saeby W,Fredericia W,-,-
14.03. 14:30,Rodovre W,Sondermarkens W,-,-
15.03. 14:00,Aarhus Handbold W,Ydun W,-,-
21.03. 12:00,AGF W,Saeby W,-,-
21.03. 13:00,Ajax Kobenhavn W,Aarhus Handbold W,-,-
21.03. 13:00,Gudme HK W,Ydun W,-,-
21.03. 14:00,Roskilde W,Holstebro W,-,-
22.03. 13:00,Sondermarkens W,Fredericia W,-,-
22.03. 14:30,Rodovre W,Ejstrup/Haervejen W,-,-
29.03. 12:00,Aarhus Handbold W,AGF W,-,-
29.03. 12:00,Ejstrup/Haervejen W,Ajax Kobenhavn W,-,-
29.03. 12:00,Fredericia W,Gudme HK W,-,-
29.03. 12:00,Holstebro W,Sondermarkens W,-,-
29.03. 12:00,Saeby W,Rodovre W,-,-
29.03. 12:00,Ydun W,Roskilde W,-,-
