date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-04-12,Besta Deildin,Valur,Þór Ak.,3-0,1.01,9.09,18.4,2026-04-12T14:43:31Z
2026-04-12,Besta Deildin,ÍBV,FH,1-0,1.46,4.28,4.34,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,ÍBV,FH,0-1,4.47,4.31,1.44,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,ÍBV,FH,0-2,9.2,6.16,1.14,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,ÍBV,FH,2-0,1.15,6.08,8.91,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,ÍBV,FH,3-0,1.03,8.4,16.32,2026-04-10T20:41:26Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,1-0,1.26,5.18,6.19,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-1,2.84,4.07,1.81,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,2-0,1.07,7.37,12.28,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-2,5.17,5.09,1.32,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3-0,1.01,9.03,19.52,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,1-0,1.33,4.85,5.18,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-1,3.26,4.2,1.65,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,2-0,1.1,6.85,10.27,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-2,6.12,5.47,1.24,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3-0,1.02,8.89,17.42,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,1-0,1.38,4.7,4.71,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-1,3.55,4.29,1.57,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,2-0,1.12,6.57,9.3,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-2,6.75,5.71,1.21,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3-0,1.03,8.73,16.2,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,1-0,1.42,4.59,4.41,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-1,3.77,4.37,1.52,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,2-0,1.14,6.37,8.65,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-2,7.25,5.89,1.19,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3-0,1.03,8.57,15.32,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,1-0,1.38,4.7,4.7,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-1,3.57,4.31,1.57,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,2-0,1.12,6.56,9.27,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-2,6.79,5.72,1.21,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3-0,1.03,8.73,16.18,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,1-0,1.35,4.8,5.02,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-1,3.37,4.24,1.62,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,2-0,1.11,6.76,9.93,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,0-2,6.35,5.56,1.23,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Breiðablik,ÍA,3-0,1.02,8.83,16.96,2026-04-17T16:53:39Z
2026-04-17,Besta Deildin,Fram,Keflavík,0-1,2.35,3.96,2.12,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Fram,Keflavík,1-0,1.18,5.75,7.98,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Fram,Keflavík,2-0,1.04,8.03,15.41,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Fram,Keflavík,0-2,4.07,4.65,1.45,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Fram,Keflavík,3-0,1.01,9.06,22.34,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Fram,Keflavík,0-1,2.48,3.98,2.02,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Fram,Keflavík,1-0,1.19,5.58,7.48,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Fram,Keflavík,2-0,1.05,7.86,14.62,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Fram,Keflavík,0-2,4.37,4.76,1.41,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Fram,Keflavík,3-0,1.01,9.05,21.68,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Fram,Keflavík,0-1,2.84,4.06,1.81,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Fram,Keflavík,1-0,1.25,5.19,6.29,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Fram,Keflavík,2-0,1.07,7.4,12.52,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Fram,Keflavík,0-2,5.19,5.09,1.31,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,Fram,Keflavík,3-0,1.01,9.03,19.81,2026-04-17T15:04:18Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,0-1,6.73,5.27,1.23,2026-04-15T09:24:06Z
2026-04-17,Besta Deildin,KA,Víkingur Rvk,1-0,1.87,3.99,2.75,2026-04-15T09:24:06Z
