out, in
Bjerringbro/Silkeborg, Bjerringbro-Silkeborg
Fredericia, Fredericia HK
Grindsted, Grindsted GIF
Holstebro, TT Holstebro
Mors, Mors-Thy
Nordsjaelland, Nordsjælland
Ribe-Esbjerg, Ribe Esbjerg
Skanderborg AGF, Skanderborg
