out, in
Aix, Pays Aix
Cesson Rennes-Metropole, Rennes
Chambery Savoie, Chambery
Dijon, Dijon Bourgogne H B
Istres, Istres Ouest Provence
Limoges, Limoges Hand 87
Nimes, Usam Nimes
Selestat, Selestat Alsace
St. Raphael, Saint Raphael
